"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.005***","0.004**","0.008***","0.002","0.008***","0.005","0.003","0.001","0.005**","0.004**","0.004**","0.007***"
"","0.001","0.002","0.002","0.003","0.002","0.005","0.002","0.004","0.002","0.002","0.002","0.002"
"_cons","0.027***","0.021***","0.040***","0.036***","0.022***","0.043***","0.025***","0.026***","0.032***","0.006***","0.024***","0.022***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","3462603","2183024","1459654","767519","1574214","402073","1153179","338914","1278647","646799","2854595","1505539"
"dep_mean","0.028","0.021","0.040","0.036","0.022","0.043","0.025","0.026","0.032","0.006","0.024","0.022"
"unique_idnss","149446.000","93156.000","61855.000","39038.000","64186.000","22491.000","48405.000","13947.000","56769.000","24141.000","151803.000","60786.000"
"unique_idrfc","102232.000","61533.000","32773.000","32319.000","33165.000","27316.000","36743.000","12681.000","47889.000","9667.000","129076.000","16585.000"
