"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-0.000","0.003**","0.006***","0.000","0.002","-0.006","0.000","0.004","0.004**","-0.001","0.002","0.001"
"","0.001","0.002","0.002","0.003","0.002","0.005","0.002","0.004","0.002","0.002","0.002","0.002"
"_cons","0.040***","0.034***","0.037***","0.069***","0.032***","0.080***","0.032***","0.033***","0.040***","0.019***","0.041***","0.031***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","3795737","2359778","1590088","898432","1693607","483437","1242620","365627","1401030","677068","3137539","1619751"
"dep_mean","0.040","0.034","0.037","0.069","0.032","0.080","0.032","0.033","0.040","0.019","0.041","0.031"
"unique_idnss","157411.000","97718.000","64740.000","43321.000","66511.000","25337.000","50522.000","14350.000","59593.000","24531.000","165727.000","63310.000"
"unique_idrfc","111113.000","65081.000","36090.000","37166.000","35999.000","31821.000","39740.000","13822.000","51325.000","10170.000","139901.000","18863.000"
