"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","9.3***","-2.8","-1.7","10.5**","1.6","18.5**","2.9","6.6","2.1","5.7","-0.2","8.1**"
"","2.96","2.72","4.23","5.26","4.22","9.13","4.06","7.81","4.72","4.00","2.26","4.05"
"_cons","470.7***","413.5***","521.5***","395.6***","463.7***","317.3***","387.1***","478.7***","456.2***","575.5***","360.8***","567.8***"
"","0.03","0.03","0.06","0.06","0.04","0.10","0.05","0.09","0.07","0.06","0.03","0.05"
"N","3636851","2276293","1529005","834197","1638574","443213","1200886","353227","1342575","663920","3000398","1567062"
"dep_mean","470.8","413.5","521.5","395.7","463.7","317.6","387.2","478.8","456.2","575.5","360.8","567.9"
"unique_idnss","153534.0","95296.0","63303.0","41351.0","65310.0","23999.0","49402.0","14145.0","58129.0","24307.0","158757.0","62052.0"
"unique_idrfc","109939.0","64446.0","36040.0","36671.0","35790.0","31301.0","39408.0","13750.0","50965.0","10108.0","137682.0","18855.0"
