"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-0.002","0.003","0.002","0.000","-0.001","0.001","0.000"
"","0.007","0.003","0.002","0.002","0.002","0.002","0.001"
"_cons","0.014***","0.019***","0.025***","0.027***","0.027***","0.026***","0.022***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","104896","477248","1786016","1943072","943328","878592","2026016"
"dep_mean","0.014","0.019","0.025","0.027","0.027","0.026","0.022"
"unique_idnss","3278.000","14914.000","55813.000","60721.000","29479.000","27456.000","63313.000"
"unique_idrfc","4225.000","20919.000","73959.000","53635.000","21666.000","15893.000","18870.000"
