"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-0.003","0.005","0.001","-0.002*","0.004**","-0.001","0.002"
"","0.008","0.004","0.002","0.001","0.002","0.002","0.001"
"_cons","0.017***","0.017***","0.016***","0.014***","0.013***","0.012***","0.010***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","75129","327336","1230152","1379570","685660","647799","1567535"
"dep_mean","0.017","0.017","0.016","0.014","0.013","0.012","0.010"
"unique_idnss","3214.000","14492.000","54230.000","59134.000","28761.000","26819.000","62053.000"
"unique_idrfc","4164.000","20522.000","72924.000","53382.000","21624.000","15888.000","18864.000"
