"","est1","est2","est3","est4","est5","est6"
"","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.02***","0.01***","0.02***","0.02***","0.02***","0.01***"
"","0.004","0.004","0.004","0.004","0.004","0.004"
"_cons","5.78***","5.80***","5.80***","5.80***","5.80***","5.80***"
"","0.000","0.000","0.000","0.000","0.000","0.000"
"N","6380963","5913975","5913975","5913975","5913144","5913144"
"dep_mean","5.78","5.80","5.80","5.80","5.80","5.80"
"unique_idnss","306909.00","248935.00","248935.00","248935.00","248830.00","248830.00"
"unique_idrfc","164733.00","145693.00","145693.00","145693.00","145654.00","145654.00"
