"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.001","0.018***","0.013***","0.011***","0.012***","0.009***","0.008***"
"","0.008","0.003","0.002","0.002","0.002","0.002","0.001"
"_cons","0.020***","0.024***","0.030***","0.031***","0.030***","0.030***","0.025***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","104896","477248","1786016","1943072","943328","878592","2026016"
"dep_mean","0.020","0.025","0.030","0.031","0.030","0.030","0.025"
"unique_idnss","3278.000","14914.000","55813.000","60721.000","29479.000","27456.000","63313.000"
"unique_idrfc","4225.000","20919.000","73959.000","53635.000","21666.000","15893.000","18870.000"
