"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.01","0.03**","0.01*","0.02**","0.02*","-0.01","0.02**"
"","0.031","0.015","0.008","0.008","0.010","0.010","0.007"
"_cons","5.22***","5.28***","5.52***","5.77***","5.90***","5.93***","6.08***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","75017","327260","1230059","1378921","685465","647157","1567062"
"dep_mean","5.22","5.28","5.52","5.77","5.90","5.93","6.08"
"unique_idnss","3212.00","14490.00","54234.00","59122.00","28764.00","26814.00","62052.00"
"unique_idrfc","4154.00","20516.00","72915.00","53354.00","21623.00","15878.00","18855.00"
