"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.054","0.066***","0.057***","0.059***","0.035***","0.042***","0.044***"
"","0.046","0.021","0.009","0.008","0.011","0.012","0.007"
"_cons","0.716***","0.686***","0.689***","0.710***","0.727***","0.738***","0.774***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","104896","477248","1786016","1943072","943328","878592","2026016"
"dep_mean","0.716","0.687","0.690","0.711","0.728","0.738","0.774"
"unique_idnss","3278.000","14914.000","55813.000","60721.000","29479.000","27456.000","63313.000"
"unique_idrfc","4225.000","20919.000","73959.000","53635.000","21666.000","15893.000","18870.000"
