"","est1"
"","b/se"
"rpci_vig","5.8**"
"","2.31"
"_cons","482.7***"
"","0.02"
"N","2983167"
"dep_mean","482.7"
"unique_idnss","122940.0"
"unique_idrfc","58910.0"
