"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.02***","0.00","0.00","0.03**","0.01","0.03**","0.01","0.02","0.02**","0.01","0.01","0.02**"
"","0.005","0.005","0.007","0.010","0.007","0.017","0.008","0.015","0.008","0.006","0.005","0.007"
"_cons","5.83***","5.74***","5.95***","5.73***","5.88***","5.51***","5.69***","5.86***","5.73***","6.10***","5.59***","6.08***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","3636851","2276293","1529005","834197","1638574","443213","1200886","353227","1342575","663920","3000398","1567062"
"dep_mean","5.83","5.74","5.95","5.73","5.88","5.51","5.69","5.86","5.73","6.10","5.59","6.08"
"unique_idnss","153534.00","95296.00","63303.00","41351.00","65310.00","23999.00","49402.00","14145.00","58129.00","24307.00","158757.00","62052.00"
"unique_idrfc","109939.00","64446.00","36040.00","36671.00","35790.00","31301.00","39408.00","13750.00","50965.00","10108.00","137682.00","18855.00"
