"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-1.1","14.0*","3.3","3.7","6.7","-8.6","8.1**"
"","12.05","8.34","3.81","4.63","6.64","6.32","4.05"
"_cons","221.7***","234.3***","327.3***","436.8***","494.9***","503.0***","567.8***"
"","0.08","0.08","0.04","0.06","0.08","0.08","0.05"
"N","75017","327260","1230059","1378921","685465","647157","1567062"
"dep_mean","221.7","234.4","327.3","436.9","495.0","502.9","567.9"
"unique_idnss","3212.0","14490.0","54234.0","59122.0","28764.0","26814.0","62052.0"
"unique_idrfc","4154.0","20516.0","72915.0","53354.0","21623.0","15878.0","18855.0"
