"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-0.017","0.023***","0.010**","0.005","-0.002","-0.020***","0.002"
"","0.012","0.008","0.004","0.005","0.006","0.007","0.004"
"_cons","0.099***","0.115***","0.179***","0.298***","0.383***","0.424***","0.458***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","72651","314412","1170424","1310382","652703","617490","1505539"
"dep_mean","0.099","0.115","0.179","0.298","0.383","0.424","0.458"
"unique_idnss","3148.000","14150.000","52653.000","57525.000","28012.000","26195.000","60786.000"
"unique_idrfc","3967.000","19147.000","67332.000","49726.000","19797.000","14296.000","16585.000"
