"","est1"
"","b/se"
"rpci_vig","0.01***"
"","0.001"
"_cons","5.86***"
"","0.000"
"N","29789126"
"dep_mean","5.86"
"unique_idnss","1228423.00"
"unique_idrfc","302760.00"
