"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.057***","0.060***","0.058***","0.049***","0.041***","0.045***","0.034***"
"","0.014","0.006","0.003","0.003","0.004","0.004","0.002"
"_cons","0.717***","0.691***","0.689***","0.713***","0.726***","0.737***","0.773***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","1047008","4779552","17968576","19375904","9410144","8728512","20196928"
"dep_mean","0.718","0.692","0.690","0.713","0.726","0.737","0.773"
"unique_idnss","32719.000","149361.000","561518.000","605497.000","294067.000","272766.000","631154.000"
"unique_idrfc","41362.000","175137.000","320096.000","149418.000","76190.000","61924.000","78373.000"
