"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.049***","0.042***","0.045***","0.058***","0.041***","0.072***","0.046***","0.043***","0.050***","0.031***","-0.001**","0.034***"
"","0.002","0.002","0.002","0.003","0.003","0.005","0.003","0.005","0.002","0.003","0.001","0.002"
"_cons","0.723***","0.729***","0.740***","0.601***","0.769***","0.546***","0.746***","0.770***","0.706***","0.845***","0.951***","0.773***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","50421568","31131072","20709472","13797184","21298752","8018784","16169056","4638816","19062048","7767072","31772873","20196928"
"dep_mean","0.723","0.729","0.741","0.602","0.769","0.546","0.746","0.771","0.707","0.845","0.951","0.773"
"unique_idnss","1575674.000","972846.000","647171.000","431162.000","665586.000","250587.000","505283.000","144963.000","595689.000","242721.000","1661269.000","631154.000"
"unique_idrfc","425200.000","285777.000","125470.000","146607.000","139831.000","135101.000","187439.000","63462.000","214915.000","48465.000","533073.000","78373.000"
