"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.010***","0.013***","0.011***","0.014***","0.009***","0.019***","0.011***","0.011***","0.013***","0.007***","0.004***","0.010***"
"","0.000","0.000","0.000","0.001","0.001","0.001","0.001","0.001","0.000","0.001","0.000","0.000"
"_cons","0.030***","0.026***","0.028***","0.044***","0.025***","0.048***","0.025***","0.027***","0.029***","0.016***","0.041***","0.025***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","50421568","31131072","20709472","13797184","21298752","8018784","16169056","4638816","19062048","7767072","31772873","20196928"
"dep_mean","0.030","0.026","0.029","0.045","0.025","0.048","0.025","0.027","0.030","0.016","0.041","0.025"
"unique_idnss","1575674.000","972846.000","647171.000","431162.000","665586.000","250587.000","505283.000","144963.000","595689.000","242721.000","1661269.000","631154.000"
"unique_idrfc","425200.000","285777.000","125470.000","146607.000","139831.000","135101.000","187439.000","63462.000","214915.000","48465.000","533073.000","78373.000"
