"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.03***","0.03***","0.02***","0.01***","0.01***","0.00","0.01***"
"","0.011","0.005","0.003","0.003","0.004","0.004","0.002"
"_cons","5.22***","5.28***","5.52***","5.77***","5.89***","5.94***","6.07***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","750198","3300834","12373430","13797897","6822982","6422833","15597960"
"dep_mean","5.22","5.28","5.52","5.77","5.89","5.94","6.07"
"unique_idnss","31993.00","145267.00","545340.00","590009.00","286824.00","266509.00","619002.00"
"unique_idrfc","40609.00","172140.00","317794.00","149345.00","76158.00","61901.00","78339.00"
