"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","7.6***","0.4","-0.3","4.5**","0.4","17.1***","3.7***","7.9***","3.4**","9.1***","5.0***","3.6***"
"","0.98","0.92","1.40","1.79","1.26","2.95","1.40","2.82","1.56","1.59","0.89","1.32"
"_cons","469.8***","412.1***","524.1***","398.0***","464.4***","312.0***","386.3***","481.7***","454.0***","572.8***","360.0***","566.1***"
"","0.01","0.01","0.02","0.02","0.01","0.03","0.02","0.03","0.02","0.02","0.01","0.02"
"N","36408980","22676833","15323763","8282504","16368078","4367222","12051628","3572215","13451793","6561557","30128902","15597960"
"dep_mean","469.8","412.1","524.1","398.1","464.4","312.2","386.4","481.8","454.1","572.9","360.1","566.1"
"unique_idnss","1536994.0","949276.0","633118.0","411987.0","653573.0","237124.0","494585.0","142759.0","581209.0","240476.0","1591091.0","619002.0"
"unique_idrfc","421422.0","283428.0","125402.0","145157.0","139210.0","133480.0","186241.0","63206.0","213668.0","48247.0","527133.0","78339.0"
