"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.014***","0.013***","0.011***","0.010***","0.010***","0.009***","0.008***"
"","0.002","0.001","0.000","0.000","0.000","0.000","0.000"
"_cons","0.012***","0.012***","0.012***","0.011***","0.010***","0.010***","0.009***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","1047008","4779552","17968576","19375904","9410144","8728512","20196928"
"dep_mean","0.012","0.013","0.012","0.011","0.010","0.010","0.009"
"unique_idnss","32719.000","149361.000","561518.000","605497.000","294067.000","272766.000","631154.000"
"unique_idrfc","41362.000","175137.000","320096.000","149418.000","76190.000","61924.000","78373.000"
