"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","0.005***","0.001","-0.001","0.004**","0.001","0.007***","0.001","0.005**","0.004***","0.005**","0.004***","0.000"
"","0.001","0.001","0.001","0.002","0.001","0.003","0.001","0.003","0.001","0.002","0.001","0.001"
"_cons","0.322***","0.335***","0.422***","0.355***","0.409***","0.190***","0.334***","0.285***","0.272***","0.329***","0.215***","0.458***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","34658236","21750565","14630637","7618212","15720455","3960039","11575897","3427502","12813409","6392559","28665078","14980351"
"dep_mean","0.322","0.335","0.422","0.355","0.409","0.190","0.334","0.285","0.272","0.329","0.215","0.458"
"unique_idnss","1495932.000","927889.000","618534.000","388412.000","641943.000","221931.000","485218.000","140772.000","567689.000","238889.000","1521403.000","606268.000"
"unique_idrfc","402679.000","274965.000","113542.000","130751.000","129980.000","121323.000","176669.000","58588.000","203223.000","45930.000","507537.000","69929.000"
