"","est1","est2","est3","est4","est5","est6","est7"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","-0.000","0.004***","0.004***","0.003***","0.003***","0.006***","0.003***"
"","0.003","0.001","0.001","0.001","0.001","0.001","0.001"
"_cons","0.009***","0.013***","0.021***","0.030***","0.032***","0.031***","0.022***"
"","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"N","726860","3169730","11774791","13116931","6494583","6127483","14980351"
"dep_mean","0.009","0.013","0.021","0.030","0.032","0.031","0.022"
"unique_idnss","31442.000","141654.000","529548.000","574219.000","279451.000","259982.000","606268.000"
"unique_idrfc","38862.000","162476.000","304008.000","138450.000","68921.000","55544.000","69929.000"
